,Ruta de aprendisaje,Numero de cursos,Url
0,Fundamentos de programación,24 cursos,https://platzi.com/fundamentos-programacion/
1,Desarrollo Web Backend con Ruby on Rails,10 cursos,https://platzi.com/backend-ruby/
2,Desarrollo Backend Con Python y Django,13 cursos,https://platzi.com/backend-python/
3,Administración de Servidores y DevOps,28 cursos,https://platzi.com/servidores/
4,Inteligencia Artificial y Machine Learning,17 cursos,https://platzi.com/ai/
5,Bases de Datos desde Cero,15 cursos,https://platzi.com/base-de-datos/
6,Arquitectura Frontend,40 cursos,https://platzi.com/arquitecto/
7,Frontend con React.js,18 cursos,https://platzi.com/desarrollo-react/
8,Desarrollo Web Frontend con Vue.js,12 cursos,https://platzi.com/vue/
9,Desarrollo Web Backend con PHP,9 cursos,https://platzi.com/desarrollo-php/
10,Desarrollo de Apps con React Native,11 cursos,https://platzi.com/react-native/
11,Desarrollo de Videojuegos con Unity,14 cursos,https://platzi.com/desarrollo-unity/
12,Desarrollo Backend con Go,7 cursos,https://platzi.com/backend-go/
13,Desarrollo de Apps multiplataforma,20 cursos,https://platzi.com/multiplataforma/
14,Matemáticas para Programación,10 cursos,https://platzi.com/matematicas-programacion/
15,Firebase,9 cursos,https://platzi.com/firebase/
16,Desarrollo de Aplicaciones con ASP .NET,9 cursos,https://platzi.com/asp-net/
17,Desarrollo con IBM Cloud,9 cursos,https://platzi.com/ibm-cloud/
18,Desarrollo de Aplicaciones Android,18 cursos,https://platzi.com/desarrollo-android/
19,Amazon Web Services,9 cursos,https://platzi.com/aws/
20,Data Science,13 cursos,https://platzi.com/datos/
21,Desarrollo Con WordPress,12 cursos,https://platzi.com/desarrollo-wordpress/
22,Seguridad Informática,20 cursos,https://platzi.com/seguridad-informatica/
23,iOS Mobile Developer,21 cursos,https://platzi.com/apple-fullstack/
24,Videojuegos,25 cursos,https://platzi.com/videojuegos/
25,Desarrollo de Apps Multiplataforma con Xamarin,10 cursos,https://platzi.com/multiplataforma-xamarin/
26,Desarrollo Backend con Java,13 cursos,https://platzi.com/desarrollo-java/
27,Frontend con Angular,12 cursos,https://platzi.com/desarrollo-angular/
28,Internet of Things,12 cursos,https://platzi.com/iot/
29,Google Cloud Platform,8 cursos,https://platzi.com/google-cloud/
30,Ciencias,6 cursos,https://platzi.com/ciencia/
31,Desarrollo Backend con JavaScript,27 cursos,https://platzi.com/backend-javascript/
32,Carrera de JavaScript,16 cursos,https://platzi.com/escuela-javascript/
33,Cloud Computing en Azure,10 cursos,https://platzi.com/azure/
